zone,date,description,score_key,value
la-msa,2020-11-15,pop_hispanic,C000_P_c45_AM_autoN_fareY,131601.03
la-msa,2020-12-20,pop_hispanic,C000_P_c45_AM_autoN_fareY,131192.73
la-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoN_fareY,133373.89
la-msa,2021-02-21,pop_hispanic,C000_P_c45_AM_autoN_fareY,122584.95
la-msa,2021-07-11,pop_hispanic,C000_P_c45_AM_autoN_fareY,143107.23
la-msa,2021-09-12,pop_hispanic,C000_P_c45_AM_autoN_fareY,149309.77
la-msa,2020-02-23,pop_poverty,C000_P_c45_AM_autoN_fareY,156448.27
la-msa,2020-03-15,pop_poverty,C000_P_c45_AM_autoN_fareY,155467.45
la-msa,2020-04-19,pop_poverty,C000_P_c45_AM_autoN_fareY,154347.31
la-msa,2020-05-10,pop_poverty,C000_P_c45_AM_autoN_fareY,155099.1
la-msa,2020-06-21,pop_poverty,C000_P_c45_AM_autoN_fareY,144743.23
la-msa,2020-07-19,pop_poverty,C000_P_c45_AM_autoN_fareY,137588.2
la-msa,2020-08-16,pop_poverty,C000_P_c45_AM_autoN_fareY,152573.86
la-msa,2020-09-20,pop_poverty,C000_P_c45_AM_autoN_fareY,150297.34
la-msa,2020-10-18,pop_poverty,C000_P_c45_AM_autoN_fareY,158826.56
la-msa,2020-11-15,pop_poverty,C000_P_c45_AM_autoN_fareY,159642.23
la-msa,2020-12-20,pop_poverty,C000_P_c45_AM_autoN_fareY,158652.16
la-msa,2021-01-17,pop_poverty,C000_P_c45_AM_autoN_fareY,162148.45
la-msa,2021-02-21,pop_poverty,C000_P_c45_AM_autoN_fareY,146630.03
la-msa,2021-07-11,pop_poverty,C000_P_c45_AM_autoN_fareY,172958.05
la-msa,2021-09-12,pop_poverty,C000_P_c45_AM_autoN_fareY,180053.53
la-msa,2020-02-23,pop_total,C000_P_c45_AM_autoN_fareY,117331.875
la-msa,2020-03-15,pop_total,C000_P_c45_AM_autoN_fareY,116722.92
la-msa,2020-04-19,pop_total,C000_P_c45_AM_autoN_fareY,114403.836
la-msa,2020-05-10,pop_total,C000_P_c45_AM_autoN_fareY,114534.22
la-msa,2020-06-21,pop_total,C000_P_c45_AM_autoN_fareY,105490.78
la-msa,2020-07-19,pop_total,C000_P_c45_AM_autoN_fareY,100346.29
la-msa,2020-08-16,pop_total,C000_P_c45_AM_autoN_fareY,110727.125
la-msa,2020-09-20,pop_total,C000_P_c45_AM_autoN_fareY,109265.91
la-msa,2020-10-18,pop_total,C000_P_c45_AM_autoN_fareY,116473.086
la-msa,2020-11-15,pop_total,C000_P_c45_AM_autoN_fareY,117222.66
la-msa,2020-12-20,pop_total,C000_P_c45_AM_autoN_fareY,116991.62
la-msa,2021-01-17,pop_total,C000_P_c45_AM_autoN_fareY,118739.89
la-msa,2021-02-21,pop_total,C000_P_c45_AM_autoN_fareY,108498.09
la-msa,2021-07-11,pop_total,C000_P_c45_AM_autoN_fareY,127428.43
la-msa,2021-09-12,pop_total,C000_P_c45_AM_autoN_fareY,132891.64
la-msa,2020-02-23,pop_white,C000_P_c45_AM_autoN_fareY,97444.71
la-msa,2020-03-15,pop_white,C000_P_c45_AM_autoN_fareY,97176.23
la-msa,2020-04-19,pop_white,C000_P_c45_AM_autoN_fareY,94788.26
la-msa,2020-05-10,pop_white,C000_P_c45_AM_autoN_fareY,94162.63
la-msa,2020-06-21,pop_white,C000_P_c45_AM_autoN_fareY,86436.22
la-msa,2020-07-19,pop_white,C000_P_c45_AM_autoN_fareY,81001.625
la-msa,2020-08-16,pop_white,C000_P_c45_AM_autoN_fareY,89467.77
la-msa,2020-09-20,pop_white,C000_P_c45_AM_autoN_fareY,87769.77
la-msa,2020-10-18,pop_white,C000_P_c45_AM_autoN_fareY,95083.82
la-msa,2020-11-15,pop_white,C000_P_c45_AM_autoN_fareY,94650.77
la-msa,2020-12-20,pop_white,C000_P_c45_AM_autoN_fareY,93719.93
la-msa,2021-01-17,pop_white,C000_P_c45_AM_autoN_fareY,95557.13
la-msa,2021-02-21,pop_white,C000_P_c45_AM_autoN_fareY,88378.17
la-msa,2021-07-11,pop_white,C000_P_c45_AM_autoN_fareY,102199.586
la-msa,2021-09-12,pop_white,C000_P_c45_AM_autoN_fareY,106836.766
la-msa,2020-02-23,workers_essential,C000_P_c45_AM_autoN_fareY,114262.836
la-msa,2020-03-15,workers_essential,C000_P_c45_AM_autoN_fareY,113805.06
la-msa,2020-04-19,workers_essential,C000_P_c45_AM_autoN_fareY,111281.45
la-msa,2020-05-10,workers_essential,C000_P_c45_AM_autoN_fareY,111117.3
la-msa,2020-06-21,workers_essential,C000_P_c45_AM_autoN_fareY,102180.664
la-msa,2020-07-19,workers_essential,C000_P_c45_AM_autoN_fareY,96828.664
la-msa,2020-08-16,workers_essential,C000_P_c45_AM_autoN_fareY,107304.55
la-msa,2020-09-20,workers_essential,C000_P_c45_AM_autoN_fareY,105867.38
la-msa,2020-10-18,workers_essential,C000_P_c45_AM_autoN_fareY,112988.055
la-msa,2020-11-15,workers_essential,C000_P_c45_AM_autoN_fareY,113882.78
la-msa,2020-12-20,workers_essential,C000_P_c45_AM_autoN_fareY,113486.35
la-msa,2021-01-17,workers_essential,C000_P_c45_AM_autoN_fareY,115109.22
la-msa,2021-02-21,workers_essential,C000_P_c45_AM_autoN_fareY,105115.78
la-msa,2021-07-11,workers_essential,C000_P_c45_AM_autoN_fareY,123939.15
la-msa,2021-09-12,workers_essential,C000_P_c45_AM_autoN_fareY,129235.86
la-msa,2020-02-23,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.051209
la-msa,2020-03-15,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.05106465
la-msa,2020-04-19,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.04845903
la-msa,2020-05-10,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.048703715
la-msa,2020-06-21,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.045780126
la-msa,2020-07-19,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.044191502
la-msa,2020-08-16,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.048168123
la-msa,2020-09-20,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.04753944
la-msa,2020-10-18,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.0508157
la-msa,2020-11-15,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.050763544
la-msa,2020-12-20,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.050654054
la-msa,2021-01-17,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.051273454
la-msa,2021-02-21,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.04752188
la-msa,2021-07-11,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.05481334
la-msa,2021-09-12,hhld_single_mother,C000_P_c45_AM_autoY_fareN,0.05728763
la-msa,2020-02-23,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.043159325
la-msa,2020-03-15,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.042647637
la-msa,2020-04-19,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.03916862
la-msa,2020-05-10,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.039912168
la-msa,2020-06-21,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.035577085
la-msa,2020-07-19,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.035037976
la-msa,2020-08-16,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.037442658
la-msa,2020-09-20,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.037351742
la-msa,2020-10-18,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.040629383
la-msa,2020-11-15,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.04039145
la-msa,2020-12-20,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.041017987
la-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.041190833
la-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.038413513
la-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.04441079
la-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoY_fareN,0.045917843
la-msa,2020-02-23,pop_black,C000_P_c45_AM_autoY_fareN,0.054431435
la-msa,2020-03-15,pop_black,C000_P_c45_AM_autoY_fareN,0.05505365
la-msa,2020-04-19,pop_black,C000_P_c45_AM_autoY_fareN,0.053752664
la-msa,2020-05-10,pop_black,C000_P_c45_AM_autoY_fareN,0.05218196
la-msa,2020-06-21,pop_black,C000_P_c45_AM_autoY_fareN,0.05160105
la-msa,2020-07-19,pop_black,C000_P_c45_AM_autoY_fareN,0.04764761
la-msa,2020-08-16,pop_black,C000_P_c45_AM_autoY_fareN,0.05432431
la-msa,2020-09-20,pop_black,C000_P_c45_AM_autoY_fareN,0.053327948
la-msa,2020-10-18,pop_black,C000_P_c45_AM_autoY_fareN,0.055782784
la-msa,2020-11-15,pop_black,C000_P_c45_AM_autoY_fareN,0.055415217
la-msa,2020-12-20,pop_black,C000_P_c45_AM_autoY_fareN,0.055062998
la-msa,2021-01-17,pop_black,C000_P_c45_AM_autoY_fareN,0.05593212
la-msa,2021-02-21,pop_black,C000_P_c45_AM_autoY_fareN,0.048824187
la-msa,2021-07-11,pop_black,C000_P_c45_AM_autoY_fareN,0.060220942
la-msa,2021-09-12,pop_black,C000_P_c45_AM_autoY_fareN,0.06288906
la-msa,2020-02-23,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.05035218
la-msa,2020-03-15,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.04996862
la-msa,2020-04-19,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.047404274
la-msa,2020-05-10,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.047922675
la-msa,2020-06-21,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.044305984
la-msa,2020-07-19,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.04319857
la-msa,2020-08-16,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.04683281
la-msa,2020-09-20,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.046120957
la-msa,2020-10-18,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.049629908
la-msa,2020-11-15,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.04993728
la-msa,2020-12-20,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.04980549
la-msa,2021-01-17,pop_hispanic,C000_P_c45_AM_autoY_fareN,0.050363768
